0.994026, -0.422509, -0.267048, 0.499997
1.24455, -0.466998, -0.0571079, 0.5
1.48364, -0.453375, 0.170939, 0.5
1.72724, -0.380127, 0.413238, 0.5
1.9382, -0.256627, 0.646035, 0.5
2.12131, -0.0800617, 0.888335, 0.5
2.25241, 0.126256, 1.12113, 0.5
2.33449, 0.36703, 1.36343, 0.5
2.35669, 0.610466, 1.59623, 0.5
2.31954, 0.862115, 1.83853, 0.5
2.22552, 1.09313, 2.07608, 0.5
2.07978, 1.29553, 2.31362, 0.5
1.89465, 1.45516, 2.54642, 0.5
1.67301, 1.56954, 2.78397, 0.5
1.42571, 1.62913, 3.02627, 0.5
1.1763, 1.62827, -3.01937, 0.5
0.934097, 1.56874, -2.78182, 0.5
0.716844, 1.45669, -2.54902, 0.5
0.524552, 1.29016, -2.30672, 0.5
0.382614, 1.09115, -2.07392, 0.5
0.289094, 0.85993, -1.83638, 0.5
0.252822, 0.623201, -1.61912, 0.5
0.221419, 0.380704, -1.81262, 0.5
0.1311, 0.142901, -2.05492, 0.5
-0.00703025, -0.0587779, -2.28772, 0.5
-0.192035, -0.226049, -2.52527, 0.5
-0.411208, -0.345088, -2.76281, 0.5
-0.652237, -0.409208, -3.00036, 0.5
-0.901587, -0.414808, 3.04527, 0.5
-1.13579, -0.364806, 2.81723, 0.5
-1.36111, -0.257863, 2.57968, 0.5
-1.55842, -0.0973076, 2.33738, 0.5
-1.68539, 0.0632249, 2.14259, 0.5
-1.7929, 0.28276, 1.90979, 0.5
-1.84686, 0.521176, 1.677, 0.5
-1.84437, 0.76561, 1.4442, 0.5
-1.78199, 1.01222, 1.2019, 0.5
-1.66512, 1.23256, 0.96435, 0.5
-1.50342, 1.41588, 0.731553, 0.5
-1.29939, 1.55932, 0.494004, 0.5
-1.06733, 1.65073, 0.256456, 0.5
-0.820273, 1.68496, 0.0189075, 0.5
-0.572104, 1.66009, -0.218641, 0.5
-0.341248, 1.57972, -0.451438, 0.5
-0.139045, 1.4514, -0.679485, 0.5
0.0350337, 1.27279, -0.917033, 0.5
0.164203, 1.05365, -1.15933, 0.5
0.236165, 0.814842, -1.39688, 0.5
0.253319, 0.570777, -1.53466, 0.5
0.291801, 0.324351, -1.29711, 0.5
0.387192, 0.0939009, -1.05956, 0.5
0.534134, -0.10763, -0.822014, 0.5
0.724374, -0.268923, -0.584465, 0.5
